Name,Amount of episodes,Duration,Rating
Cross Game,TV (50 eps),Apr 2009 - Mar 2010,8.40
Gintama°: Aizome Kaori-hen,OVA (2 eps),Aug 2016 - Nov 2016,8.40
Houseki no Kuni (TV),TV (12 eps),Oct 2017 - Dec 2017,8.40
Hunter x Hunter,TV (62 eps),Oct 1999 - Mar 2001,8.40
JoJo no Kimyou na Bouken Part 6: Stone Ocean,ONA (12 eps),Dec 2021 - Dec 2021,8.40
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,TV (12 eps),Jan 2019 - Mar 2019,8.40
Natsume Yuujinchou Roku Specials,Special (2 eps),Sep 2017 - Oct 2017,8.40
Non Non Biyori Nonstop,TV (12 eps),Jan 2021 - Mar 2021,8.40
Tensei shitara Slime Datta Ken 2nd Season,TV (12 eps),Jan 2021 - Mar 2021,8.40
Tian Guan Ci Fu,ONA (11 eps),Oct 2020 - Jan 2021,8.39
3-gatsu no Lion,TV (22 eps),Oct 2016 - Mar 2017,8.39
Barakamon,TV (12 eps),Jul 2014 - Sep 2014,8.39
Fumetsu no Anata e,TV (20 eps),Apr 2021 - Aug 2021,8.39
Kimetsu no Yaiba: Mugen Ressha-hen,TV (7 eps),Oct 2021 - Nov 2021,8.39
Baccano!,TV (13 eps),Jul 2007 - Nov 2007,8.38
Cowboy Bebop: Tengoku no Tobira,Movie (1 eps),Sep 2001 - Sep 2001,8.38
Kamisama Hajimemashita: Kako-hen,OVA (4 eps),Aug 2015 - Aug 2016,8.38
Kizumonogatari I: Tekketsu-hen,Movie (1 eps),Jan 2016 - Jan 2016,8.38
Kobayashi-san Chi no Maid Dragon S,TV (12 eps),Jul 2021 - Sep 2021,8.38
Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,Movie (1 eps),Oct 2012 - Oct 2012,8.38
Sono Bisque Doll wa Koi wo Suru,TV (12 eps),Jan 2022 - Mar 2022,8.38
Usagi Drop,TV (11 eps),Jul 2011 - Sep 2011,8.38
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,TV (12 eps),Jul 2020 - Sep 2020,8.38
Mushoku Tensei: Isekai Ittara Honki Dasu,TV (11 eps),Jan 2021 - Mar 2021,8.37
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,TV (13 eps),Jul 2020 - Sep 2020,8.37
Kaze no Tani no Nausicaä,Movie (1 eps),Mar 1984 - Mar 1984,8.37
Bakuman. 2nd Season,TV (25 eps),Oct 2011 - Mar 2012,8.36
Haikyuu!! To the Top,TV (13 eps),Jan 2020 - Apr 2020,8.36
Hellsing Ultimate,OVA (10 eps),Feb 2006 - Dec 2012,8.36
Holo no Graffiti,ONA (? eps),May 2019 -,8.36
Kingdom 2nd Season,TV (39 eps),Jun 2013 - Mar 2014,8.36
Kotarou wa Hitorigurashi,ONA (10 eps),Mar 2022 - Mar 2022,8.36
Mahou Shoujo Madoka★Magica,TV (12 eps),Jan 2011 - Apr 2011,8.36
Gintama: Shiroyasha Koutan,Special (1 eps),Sep 2008 - Sep 2008,8.35
Given,TV (11 eps),Jul 2019 - Sep 2019,8.35
Gotcha!,Music (1 eps),Sep 2020 - Sep 2020,8.35
